species,size,fragrance,height_cm,species type
shoeblack plant,medium,mild,53.85,2
rose,medium,strong,42.62,1
hibiscus,large,none,104.9,3
rose,small,mild,77.21,1
shoeblack plant,large,none,59.92,2
shoeblack plant,large,mild,64.15,2
hibiscus,large,none,103.8,3
shoeblack plant,large,none,103.22,2
shoeblack plant,medium,none,87.05,2
shoeblack plant,large,mild,82.43,2
shoeblack plant,medium,mild,98.16,2
hibiscus,large,none,164.89,3
rose,small,strong,84.46,1
rose,medium,mild,46.53,1
hibiscus,large,none,180.9,3
shoeblack plant,medium,none,128.35,2
shoeblack plant,medium,mild,97.54,2
hibiscus,large,none,161.66,3
hibiscus,large,none,135.16,3
hibiscus,large,none,155.48,3
rose,small,strong,76.75,1
hibiscus,large,none,141.12,3
rose,medium,mild,44.34,1
shoeblack plant,large,none,137.56,2
rose,small,strong,47.58,1
shoeblack plant,medium,none,132.9,2
rose,small,mild,36.47,1
shoeblack plant,medium,mild,135.58,2
hibiscus,large,none,194.51,3
rose,small,mild,68.99,1
shoeblack plant,medium,none,144.36,2
shoeblack plant,medium,none,62.89,2
rose,small,mild,92.21,1
shoeblack plant,medium,mild,63.45,2
rose,small,mild,44.87,1
shoeblack plant,large,none,142.32,2
rose,medium,mild,99.08,1
rose,small,mild,49.7,1
rose,small,mild,92.27,1
hibiscus,large,none,155.59,3
shoeblack plant,medium,none,65.22,2
rose,medium,strong,53,1
rose,medium,mild,81.21,1
shoeblack plant,large,mild,60.86,2
shoeblack plant,large,none,115.26,2
hibiscus,large,none,156.57,3
hibiscus,large,none,129.06,3
rose,small,strong,44.16,1
rose,small,strong,49.36,1
hibiscus,large,none,190.7,3
rose,medium,mild,46.62,1
hibiscus,large,none,187.99,3
shoeblack plant,medium,none,59.76,2
hibiscus,large,none,162.34,3
hibiscus,large,none,100.21,3
rose,small,strong,69.62,1
rose,small,strong,63.09,1
rose,medium,mild,73.82,1
hibiscus,large,none,138.85,3
hibiscus,large,none,101.56,3
rose,medium,mild,72.92,1
shoeblack plant,large,none,75.45,2
hibiscus,large,none,117.95,3
rose,small,strong,64.11,1
shoeblack plant,large,mild,60.28,2
shoeblack plant,medium,none,130.62,2
hibiscus,large,none,198.26,3
hibiscus,large,none,190.76,3
shoeblack plant,medium,mild,118.53,2
shoeblack plant,medium,none,140.53,2
shoeblack plant,medium,mild,93.72,2
rose,small,mild,60.17,1
hibiscus,large,none,147.2,3
shoeblack plant,medium,mild,70.6,2
hibiscus,large,none,144.94,3
shoeblack plant,large,none,65.66,2
shoeblack plant,medium,mild,127.33,2
rose,small,mild,77.51,1
shoeblack plant,medium,none,102.05,2
shoeblack plant,large,none,64.46,2
rose,small,mild,98.63,1
rose,small,mild,30.74,1
shoeblack plant,medium,mild,118.22,2
shoeblack plant,medium,none,126.99,2
shoeblack plant,medium,mild,145.47,2
hibiscus,large,none,195.59,3
shoeblack plant,medium,none,123.53,2
rose,small,mild,80.56,1
rose,medium,mild,45.13,1
shoeblack plant,medium,mild,121.34,2
hibiscus,large,none,139.75,3
rose,medium,mild,78.53,1
hibiscus,large,none,142.13,3
rose,medium,strong,46.7,1
hibiscus,large,none,114.17,3
rose,small,strong,72.24,1
rose,small,mild,75.41,1
rose,small,strong,62.78,1
rose,medium,mild,91.57,1
rose,medium,strong,73.05,1
shoeblack plant,medium,mild,147.07,2
hibiscus,large,none,126.37,3
hibiscus,large,none,142.98,3
shoeblack plant,large,none,137.74,2
rose,medium,strong,33.72,1
shoeblack plant,medium,mild,93.59,2
hibiscus,large,none,192.52,3
hibiscus,large,none,173.86,3
hibiscus,large,none,142.22,3
rose,small,mild,68.21,1
rose,medium,mild,70.2,1
rose,medium,strong,53.95,1
hibiscus,large,none,164.03,3
hibiscus,large,none,181.5,3
shoeblack plant,large,none,55.54,2
hibiscus,large,none,138.13,3
shoeblack plant,large,mild,119.71,2
rose,small,strong,91.64,1
rose,medium,mild,31.43,1
rose,small,strong,69.72,1
shoeblack plant,large,mild,125.41,2
shoeblack plant,medium,none,70.34,2
rose,medium,mild,67.82,1
shoeblack plant,medium,none,96.37,2
rose,small,strong,84.98,1
shoeblack plant,large,mild,147.06,2
shoeblack plant,medium,mild,82.83,2
shoeblack plant,medium,none,100.73,2
shoeblack plant,large,mild,74.94,2
shoeblack plant,medium,mild,99.89,2
shoeblack plant,large,none,142.56,2
shoeblack plant,large,mild,57.35,2
shoeblack plant,medium,none,87.11,2
shoeblack plant,large,mild,105.4,2
shoeblack plant,medium,none,54.42,2
rose,medium,mild,78.96,1
hibiscus,large,none,180.63,3
shoeblack plant,large,mild,119.6,2
hibiscus,large,none,161.53,3
hibiscus,large,none,183.7,3
hibiscus,large,none,164.3,3
shoeblack plant,medium,mild,74.21,2
rose,medium,mild,86.84,1
rose,small,mild,36.85,1
shoeblack plant,large,none,148.99,2
rose,small,mild,44.19,1
rose,medium,mild,95.09,1
shoeblack plant,medium,none,52.27,2
shoeblack plant,medium,none,59.96,2
hibiscus,large,none,127.82,3
hibiscus,large,none,139.4,3
rose,medium,strong,31.99,1
hibiscus,large,none,176.12,3
rose,medium,strong,74.86,1
shoeblack plant,large,none,141.37,2
shoeblack plant,medium,none,86.41,2
rose,small,strong,43.22,1
shoeblack plant,medium,mild,139.79,2
rose,medium,strong,34.29,1
shoeblack plant,large,none,136.55,2
shoeblack plant,medium,none,62.5,2
shoeblack plant,large,none,65.22,2
rose,medium,strong,34.44,1
rose,small,mild,91.54,1
hibiscus,large,none,170.86,3
rose,small,strong,85.18,1
rose,medium,mild,98.11,1
hibiscus,large,none,188.45,3
rose,small,mild,62.5,1
rose,small,mild,47.41,1
hibiscus,large,none,136.57,3
rose,small,mild,48.6,1
shoeblack plant,large,none,86.15,2
rose,small,strong,86.36,1
rose,medium,strong,86.44,1
hibiscus,large,none,191.68,3
shoeblack plant,large,mild,63.44,2
hibiscus,large,none,134.1,3
shoeblack plant,medium,none,115.08,2
rose,small,mild,46.73,1
hibiscus,large,none,163.85,3
rose,small,strong,43.95,1
shoeblack plant,medium,mild,66.91,1
shoeblack plant,medium,mild,96.13,2
rose,medium,mild,92.59,2
hibiscus,large,none,122.69,3
hibiscus,large,none,191.41,2
shoeblack plant,medium,mild,72.62,3
shoeblack plant,large,none,100.72,1
rose,medium,strong,75.42,1
hibiscus,large,none,105.9,3
hibiscus,large,none,188.36,
rose,small,mild,56.74,1
rose,small,strong,47.63,1
rose,small,strong,88.66,3
rose,medium,strong,82.54,3
hibiscus,large,none,199.12,1
shoeblack plant,medium,mild,54.18,2
rose,small,mild,30.31,1
rose,medium,strong,49.94,2
rose,small,strong,93.23,2
rose,small,strong,82.57,2
shoeblack plant,large,mild,138.79,2
hibiscus,large,none,168.45,2
shoeblack plant,large,mild,70.86,3
rose,small,strong,58.94,2
shoeblack plant,large,mild,111.56,3
hibiscus,large,none,173.84,1
hibiscus,large,none,190.24,1
hibiscus,large,none,103.34,3
shoeblack plant,large,mild,98.81,2
shoeblack plant,large,none,94.23,1
rose,small,strong,83.58,1
hibiscus,large,none,186.77,1
shoeblack plant,medium,mild,124.15,3
shoeblack plant,medium,none,124.21,3
shoeblack plant,medium,mild,111.47,3
rose,medium,mild,59.78,2
shoeblack plant,medium,none,113.05,2
rose,medium,strong,40.51,1
rose,small,mild,57.78,3
rose,small,strong,55.99,2
hibiscus,large,none,161.89,2
hibiscus,large,none,199.89,1
shoeblack plant,medium,mild,120.76,3
shoeblack plant,medium,mild,96.17,1
hibiscus,large,none,112.27,3
hibiscus,large,none,178.1,3
shoeblack plant,large,none,82.1,1
hibiscus,large,none,121.47,3
shoeblack plant,large,mild,105.04,3
shoeblack plant,medium,none,137.81,2
rose,medium,strong,73.1,2
shoeblack plant,medium,none,140.98,3
shoeblack plant,medium,mild,111.17,3
rose,medium,strong,44.09,3
rose,medium,strong,86.42,1
shoeblack plant,large,none,107.34,2
rose,medium,strong,47.28,3
rose,medium,strong,56.82,2
shoeblack plant,large,none,92.88,1
hibiscus,large,none,105.35,1
shoeblack plant,medium,mild,54.8,3
hibiscus,large,none,130.23,2
hibiscus,large,none,184.92,1
rose,small,strong,44.58,3
hibiscus,large,none,165.44,2
shoeblack plant,medium,mild,120.39,3
hibiscus,large,none,158.45,3
hibiscus,large,none,190.98,3
rose,small,mild,57.6,3
rose,small,mild,43.83,1
rose,small,strong,83.25,2
rose,small,strong,47.35,1
rose,medium,strong,82.29,2
rose,small,mild,70.74,3
rose,medium,mild,35.07,2
hibiscus,large,none,151.44,1
shoeblack plant,medium,none,96.53,3
hibiscus,large,none,199.97,3
rose,medium,strong,31.07,1
hibiscus,large,none,144.61,1
rose,medium,mild,45.37,3
shoeblack plant,medium,none,95.52,2
shoeblack plant,medium,none,92.86,2
rose,small,strong,85.73,1
hibiscus,large,none,119.16,3
hibiscus,large,none,151.91,3
hibiscus,large,none,117.23,3
shoeblack plant,large,mild,149.4,1
rose,small,strong,98.68,2
hibiscus,large,none,153.95,2
rose,medium,strong,53.08,1
shoeblack plant,medium,mild,127.79,1
shoeblack plant,large,none,73.93,1
hibiscus,large,none,185.29,2
hibiscus,large,none,165.81,2
rose,small,strong,86.05,1
hibiscus,large,none,102.39,1
hibiscus,large,none,160.9,1
shoeblack plant,large,none,62.45,2
hibiscus,large,none,141.41,3
hibiscus,large,none,149.35,1
shoeblack plant,medium,none,147.44,2
hibiscus,large,none,188.23,2
shoeblack plant,medium,none,135.72,2
hibiscus,large,none,123.77,1
hibiscus,large,none,118.49,2
shoeblack plant,medium,mild,118.85,1
shoeblack plant,large,none,115.14,3
shoeblack plant,medium,none,85.15,2
hibiscus,large,none,191.75,3
shoeblack plant,medium,mild,81.06,2
shoeblack plant,medium,none,100.15,1
rose,medium,strong,90.37,2
shoeblack plant,medium,mild,85.17,2
shoeblack plant,large,none,133.63,2
rose,small,mild,83.23,3
rose,small,strong,49.62,2
shoeblack plant,medium,none,127.31,3
shoeblack plant,large,mild,67.07,3
rose,small,mild,57.98,1
rose,small,strong,81.9,3
hibiscus,large,none,140.52,1
shoeblack plant,medium,mild,139.71,3
shoeblack plant,large,mild,132.56,2
shoeblack plant,medium,mild,66.85,1
hibiscus,large,none,177.14,2
shoeblack plant,large,none,118.32,1
rose,small,mild,96.31,2
hibiscus,large,none,186.96,3
rose,medium,mild,99.63,1
shoeblack plant,medium,mild,90.86,2
shoeblack plant,medium,none,95.98,3
shoeblack plant,large,mild,143.84,2
rose,medium,mild,33.44,2
shoeblack plant,medium,none,131.65,3
hibiscus,large,none,191.81,2
shoeblack plant,large,mild,84.54,1
shoeblack plant,large,none,137.39,1
rose,small,strong,47.33,3
hibiscus,large,none,132.28,1
shoeblack plant,medium,none,102.45,3
hibiscus,large,none,142.09,2
rose,small,mild,55.83,3
rose,medium,mild,86.65,1
shoeblack plant,medium,none,68.03,2
shoeblack plant,medium,mild,85.14,2
rose,medium,strong,76.72,3
hibiscus,large,none,135.44,2
rose,small,strong,48.27,3
rose,small,mild,36.07,1
shoeblack plant,medium,none,69.74,2
hibiscus,large,none,177.29,2
shoeblack plant,large,mild,106.74,1
rose,medium,mild,95.08,3
rose,medium,strong,51.81,2
hibiscus,large,none,144.69,1
shoeblack plant,medium,mild,84.72,2
shoeblack plant,medium,mild,53.56,2
shoeblack plant,large,mild,82.29,1
rose,small,strong,40.07,1
rose,medium,strong,59.25,3
rose,medium,mild,57.46,1
shoeblack plant,large,none,56.68,1
shoeblack plant,medium,mild,86.44,2
hibiscus,large,none,163.18,1
shoeblack plant,medium,none,116.6,1
shoeblack plant,medium,none,99.28,1
hibiscus,large,none,133.06,1
rose,small,mild,79.89,2
hibiscus,large,none,162.21,2
hibiscus,large,none,151.82,1
shoeblack plant,medium,none,126,1
shoeblack plant,large,none,74.28,2
rose,small,strong,60.94,3
shoeblack plant,medium,mild,61.09,2
shoeblack plant,medium,none,109.29,2
hibiscus,large,none,140.27,3
hibiscus,large,none,112.78,3
rose,medium,strong,51.12,3
shoeblack plant,medium,mild,103.24,1
hibiscus,large,none,109.59,3
shoeblack plant,large,none,136.95,1
rose,small,strong,60.93,1
hibiscus,large,none,198.77,3
shoeblack plant,medium,mild,111.51,1
rose,small,strong,61.33,1
hibiscus,large,none,121.56,1
shoeblack plant,medium,mild,119.27,1
rose,small,mild,47.06,3
shoeblack plant,large,none,129.62,1
rose,small,mild,74.12,2
shoeblack plant,large,mild,124.72,3
rose,small,mild,62.87,3
shoeblack plant,large,none,137.83,3
hibiscus,large,none,164.12,2
shoeblack plant,medium,none,106.46,1
hibiscus,large,none,112.79,2
shoeblack plant,large,mild,121.78,3
hibiscus,large,none,189.61,2
shoeblack plant,large,mild,79.84,1
hibiscus,large,none,122.58,3
shoeblack plant,large,none,124.24,2
shoeblack plant,medium,none,61.04,3
rose,small,mild,78.13,1
shoeblack plant,large,none,97.87,2
hibiscus,large,none,187.96,2
shoeblack plant,large,none,125.1,3
rose,medium,strong,85.9,3
hibiscus,large,none,116.89,2
hibiscus,large,none,198.59,3
shoeblack plant,medium,none,125.43,3
hibiscus,large,none,174.97,3
rose,medium,mild,38.51,3
hibiscus,large,none,197.06,1
shoeblack plant,large,none,80.22,2
shoeblack plant,large,none,104.59,2
rose,small,strong,82.75,2
rose,small,mild,51.78,3
hibiscus,large,none,199.65,2
hibiscus,large,none,129.23,2
rose,small,strong,88.49,2
hibiscus,large,none,176.76,2
rose,small,strong,94.94,2
hibiscus,large,none,120.41,3
hibiscus,large,none,175.67,1
rose,medium,strong,89.55,3
rose,medium,strong,66.62,1
rose,small,strong,99.96,2
hibiscus,large,none,164.49,3
shoeblack plant,medium,mild,114.02,3
shoeblack plant,large,none,61.42,3
hibiscus,large,none,121.49,1
shoeblack plant,medium,none,62.79,3
hibiscus,large,none,196.23,1
shoeblack plant,large,mild,80.39,1
shoeblack plant,large,none,140.42,2
hibiscus,large,none,104.04,2
rose,small,strong,88.36,1
rose,medium,mild,99.13,2
shoeblack plant,medium,none,62.96,2
shoeblack plant,medium,mild,107.5,3
hibiscus,large,none,134.94,2
rose,small,mild,37.4,3
rose,medium,strong,48.56,2
rose,medium,strong,51.4,2
hibiscus,large,none,163.54,2
rose,medium,mild,91.43,1
shoeblack plant,large,mild,139.43,1
shoeblack plant,medium,none,107.63,1
rose,small,strong,90.01,3
rose,medium,strong,49.2,1
rose,small,mild,97.4,2
hibiscus,large,none,174.7,3
rose,small,strong,43.03,1
rose,medium,strong,92.41,3
hibiscus,large,none,160.82,1
shoeblack plant,medium,mild,61.78,3
shoeblack plant,large,none,95.6,2
hibiscus,large,none,102,2
hibiscus,large,none,143.83,1
hibiscus,large,none,155.37,3
shoeblack plant,medium,none,105.78,1
shoeblack plant,large,none,55.32,2
shoeblack plant,medium,mild,69.46,3
shoeblack plant,large,mild,146.08,1
hibiscus,large,none,104.45,2
shoeblack plant,large,mild,56.42,3
rose,medium,strong,42.36,1
shoeblack plant,medium,none,59.61,3
shoeblack plant,large,mild,55.89,2
rose,small,strong,46.02,3
shoeblack plant,large,mild,93.24,1
hibiscus,large,none,171.69,3
hibiscus,large,none,102.17,1
shoeblack plant,large,none,129.61,2
hibiscus,large,none,114.64,1
shoeblack plant,medium,mild,140.59,3
rose,medium,mild,56.23,2
shoeblack plant,large,none,64.11,3
hibiscus,large,none,158.6,3
hibiscus,large,none,136.07,2
rose,small,strong,63.16,3
hibiscus,large,none,174.55,2
hibiscus,large,none,118.59,2
hibiscus,large,none,112.91,3
hibiscus,large,none,145.12,2
hibiscus,large,none,153.11,1
hibiscus,large,none,174.53,3
shoeblack plant,large,mild,107.5,2
shoeblack plant,medium,none,83.22,3
hibiscus,large,none,123.28,1
rose,small,mild,58.55,2
hibiscus,large,none,162.63,3
shoeblack plant,large,none,54.46,3
rose,medium,mild,63.37,2
hibiscus,large,none,194.9,2
hibiscus,large,none,136.37,2
hibiscus,large,none,125.36,3
rose,medium,mild,61.51,2
hibiscus,large,none,110.01,2
shoeblack plant,medium,mild,71.27,2
hibiscus,large,none,148.75,2
shoeblack plant,medium,none,98.04,3
rose,medium,mild,90.95,2
rose,small,mild,80.29,3
rose,small,mild,76.76,3
rose,small,strong,65.45,1
hibiscus,large,none,148.78,2
rose,small,strong,52.6,3
hibiscus,large,none,131.42,2
hibiscus,large,none,170.03,3
shoeblack plant,medium,none,142.4,3
hibiscus,large,none,150.09,1
rose,small,mild,47.13,2
shoeblack plant,medium,none,112.2,1
shoeblack plant,large,mild,118.86,1
shoeblack plant,large,none,79.78,2
shoeblack plant,large,mild,147.91,3
shoeblack plant,medium,mild,74.73,2
shoeblack plant,medium,mild,134.26,2
rose,small,strong,73.64,1
shoeblack plant,medium,mild,51.4,3
rose,small,mild,68.63,3
shoeblack plant,medium,none,104.85,2
hibiscus,large,none,130.78,1
rose,medium,mild,40.34,1
shoeblack plant,medium,mild,54.63,1
hibiscus,large,none,170.01,1
hibiscus,large,none,151.04,2
rose,medium,strong,88.77,3
shoeblack plant,large,none,97.97,1
shoeblack plant,large,mild,81.09,3
hibiscus,large,none,181.63,1
rose,medium,strong,45.13,3
shoeblack plant,large,mild,138.15,2
hibiscus,large,none,134.65,2
rose,medium,strong,32.75,2
hibiscus,large,none,137.1,1
hibiscus,large,none,181.43,1
rose,small,strong,57.73,3
shoeblack plant,large,none,107.27,3
shoeblack plant,medium,none,85.98,3
rose,medium,strong,31.46,2
rose,medium,strong,50.75,1
shoeblack plant,medium,none,96.08,3
hibiscus,large,none,191.96,2
shoeblack plant,medium,none,116.75,3
hibiscus,large,none,199.81,3
hibiscus,large,none,146.39,1
shoeblack plant,medium,mild,89.23,2
shoeblack plant,large,none,93.66,2
hibiscus,large,none,175.91,3
shoeblack plant,large,mild,89.01,1
shoeblack plant,large,none,116.65,1
hibiscus,large,none,131.16,1
hibiscus,large,none,122.45,2
rose,small,strong,90.89,3
shoeblack plant,medium,none,112.57,3
rose,medium,strong,82.14,1
shoeblack plant,medium,none,102.81,1
shoeblack plant,medium,none,60.26,2
rose,medium,mild,30.85,1
hibiscus,large,none,169.75,2
shoeblack plant,large,mild,53.69,3
rose,small,mild,46.26,1
hibiscus,large,none,180.93,1
hibiscus,large,none,138.52,3
hibiscus,large,none,152.23,1
hibiscus,large,none,190.92,1
shoeblack plant,large,mild,96.86,1
shoeblack plant,large,none,51.36,3
shoeblack plant,medium,none,73.4,1
rose,small,strong,52.5,2
rose,small,mild,78.07,1
hibiscus,large,none,120.8,2
rose,small,strong,82.96,1
hibiscus,large,none,120.05,3
rose,small,strong,48.58,2
shoeblack plant,medium,mild,107.43,2
shoeblack plant,medium,none,91.12,2
hibiscus,large,none,128.53,1
rose,medium,mild,94.04,1
hibiscus,large,none,162.27,2
hibiscus,large,none,106.43,2
rose,medium,mild,48.79,1
hibiscus,large,none,127.5,3
hibiscus,large,none,164.84,1
hibiscus,large,none,178.98,2
hibiscus,large,none,199.88,3
shoeblack plant,medium,mild,127.36,1
shoeblack plant,medium,none,97.58,1
rose,small,mild,89.34,2
shoeblack plant,large,mild,105.31,2
shoeblack plant,medium,none,70.24,1
rose,medium,strong,79.95,2
shoeblack plant,large,none,107.86,3
hibiscus,large,none,140.34,1
shoeblack plant,medium,none,114.18,3
hibiscus,large,none,152.83,3
shoeblack plant,large,mild,79.97,3
shoeblack plant,large,mild,84.66,1
shoeblack plant,medium,mild,97.86,3
shoeblack plant,medium,none,118.98,1
rose,small,mild,59.39,1
rose,medium,mild,77.54,1
hibiscus,large,none,122.52,2
shoeblack plant,large,none,54.04,1
shoeblack plant,large,mild,114.46,1
hibiscus,large,none,114.41,1
hibiscus,large,none,146.99,3
shoeblack plant,large,mild,92.5,1
rose,small,mild,58.4,3
shoeblack plant,large,mild,79.7,3
rose,medium,strong,38.47,1
hibiscus,large,none,137.09,2
hibiscus,large,none,192.27,3
hibiscus,large,none,155.35,3
rose,medium,strong,43.36,1
hibiscus,large,none,187.5,3
hibiscus,large,none,164.57,2
rose,medium,mild,62.68,1
rose,small,strong,63.34,3
rose,small,strong,70.57,1
rose,medium,strong,66.18,2
hibiscus,large,none,174.73,2
rose,medium,strong,63.88,2
shoeblack plant,medium,mild,55.92,3
hibiscus,large,none,188.19,3
rose,small,mild,59.27,3
rose,medium,strong,94.56,2
hibiscus,large,none,123.11,2
shoeblack plant,medium,mild,116.51,3
shoeblack plant,medium,mild,95.73,3
shoeblack plant,large,mild,139.38,1
rose,small,strong,68.93,3
rose,medium,mild,96.39,2
hibiscus,large,none,184.59,1
rose,medium,mild,89.17,2
shoeblack plant,large,none,126.29,3
shoeblack plant,medium,mild,116.02,2
hibiscus,large,none,109.76,2
shoeblack plant,large,mild,126.1,2
hibiscus,large,none,183.87,1
hibiscus,large,none,144.62,3
rose,small,strong,78.65,1
hibiscus,large,none,199.76,2
hibiscus,large,none,163.29,3
hibiscus,large,none,122.25,2
shoeblack plant,large,none,142.92,2
shoeblack plant,large,mild,142.16,2
hibiscus,large,none,130.68,3
rose,small,strong,44.36,3
rose,small,mild,52.03,2
shoeblack plant,large,mild,55.29,1
shoeblack plant,medium,mild,83.36,1
shoeblack plant,medium,none,137.02,2
rose,small,strong,76.74,3
hibiscus,large,none,170.55,3
shoeblack plant,large,mild,53.51,3
shoeblack plant,large,none,115.37,3
shoeblack plant,medium,mild,61.97,3
rose,medium,strong,56.04,1
hibiscus,large,none,198.48,3
hibiscus,large,none,179.76,3
hibiscus,large,none,157.74,2
shoeblack plant,medium,none,78.13,1
rose,medium,mild,62.98,3
shoeblack plant,large,none,105.32,3
rose,medium,mild,75.8,2
hibiscus,large,none,109.6,1
hibiscus,large,none,144.28,3
shoeblack plant,large,none,86.85,1
rose,small,strong,69.46,3
rose,small,mild,48.29,3
hibiscus,large,none,195.63,1
rose,small,strong,96.61,2
shoeblack plant,large,mild,85.41,3
hibiscus,large,none,100.28,1
rose,small,mild,91.64,3
shoeblack plant,large,mild,53.29,1
shoeblack plant,large,none,82.76,1
shoeblack plant,medium,none,113.67,1
rose,medium,mild,84.47,3
rose,small,mild,43.46,1
rose,small,strong,54.88,3
shoeblack plant,large,none,74.09,3
rose,medium,strong,61.37,1
rose,small,strong,36.43,2
shoeblack plant,medium,mild,75.78,1
shoeblack plant,large,mild,72.93,3
rose,small,strong,77.32,1
hibiscus,large,none,118.95,2
shoeblack plant,medium,none,130.8,3
hibiscus,large,none,155.18,3
hibiscus,large,none,108.69,3
rose,medium,strong,94.57,1
hibiscus,large,none,192.26,1
shoeblack plant,medium,mild,125.63,1
rose,small,strong,59.31,2
shoeblack plant,medium,none,136.43,1
hibiscus,large,none,124.47,2
rose,medium,strong,48.11,1
rose,small,mild,91.2,2
rose,medium,strong,47.02,2
rose,small,strong,78.23,3
shoeblack plant,medium,none,63.12,3
shoeblack plant,medium,mild,133.65,2
rose,medium,strong,95.96,3
shoeblack plant,large,mild,52.11,3
rose,small,strong,46.38,1
rose,small,mild,76.63,2
rose,small,mild,57.35,2
shoeblack plant,medium,none,141.17,3
shoeblack plant,large,none,138.34,1
hibiscus,large,none,159.41,2
shoeblack plant,large,mild,67.66,3
hibiscus,large,none,172.08,1
rose,small,strong,37.44,2
shoeblack plant,large,none,110.22,2
hibiscus,large,none,127.36,1
rose,small,strong,94.93,2
rose,small,mild,30.88,1
rose,medium,mild,46.36,3
hibiscus,large,none,189.13,3
rose,small,mild,42.58,3
shoeblack plant,large,none,84.25,1
hibiscus,large,none,105.82,3
rose,small,mild,40.62,3
rose,medium,mild,70.37,3
shoeblack plant,medium,none,89.43,1
rose,medium,strong,52.61,1
rose,medium,strong,87.64,3
shoeblack plant,large,mild,84.06,3
hibiscus,large,none,119.89,1
shoeblack plant,large,none,123.87,2
hibiscus,large,none,187.12,3
hibiscus,large,none,118,2
hibiscus,large,none,147.52,1
hibiscus,large,none,118.24,3
hibiscus,large,none,173.94,2
rose,small,strong,73.51,3
rose,medium,strong,88.7,3
hibiscus,large,none,184.8,3
shoeblack plant,large,mild,117.93,2
hibiscus,large,none,194.35,2
hibiscus,large,none,122.25,1
hibiscus,large,none,115.22,1
rose,small,strong,78.45,2
hibiscus,large,none,193.69,2
rose,small,strong,41.07,3
shoeblack plant,medium,mild,111.69,3
rose,medium,strong,63.95,1
rose,small,mild,73.46,3
shoeblack plant,medium,mild,64.83,3
rose,small,strong,91.47,1
shoeblack plant,medium,mild,61.83,2
hibiscus,large,none,130.77,3
hibiscus,large,none,115.5,3
shoeblack plant,large,none,78.79,2
hibiscus,large,none,147.05,1
rose,medium,strong,48.97,2
shoeblack plant,large,none,121.06,3
shoeblack plant,medium,mild,140.56,3
rose,medium,mild,58.15,1
hibiscus,large,none,153.59,3
hibiscus,large,none,100.36,3
shoeblack plant,medium,mild,92.99,2
shoeblack plant,large,mild,106.14,1
shoeblack plant,medium,none,54.4,1
hibiscus,large,none,168.32,1
rose,medium,mild,90.01,1
rose,medium,strong,34.85,2
shoeblack plant,large,mild,70.06,2
hibiscus,large,none,124.16,3
shoeblack plant,medium,mild,107.65,2
shoeblack plant,large,none,68.96,3
rose,small,strong,66.52,3
hibiscus,large,none,145.02,1
hibiscus,large,none,190.29,3
shoeblack plant,medium,none,113.9,2
rose,medium,strong,46.36,1
hibiscus,large,none,163.73,1
shoeblack plant,medium,mild,113.38,1
hibiscus,large,none,198.29,2
rose,medium,strong,44.41,1
hibiscus,large,none,164.97,3
hibiscus,large,none,190.44,2
shoeblack plant,large,none,55.13,2
shoeblack plant,medium,mild,95.12,2
shoeblack plant,large,mild,85.25,2
rose,small,mild,34.07,2
shoeblack plant,medium,none,79.16,3
hibiscus,large,none,131.53,2
hibiscus,large,none,199.91,3
hibiscus,large,none,163.49,2
shoeblack plant,large,none,58.97,3
shoeblack plant,large,mild,106.11,1
shoeblack plant,medium,none,97.09,3
hibiscus,large,none,196.89,1
shoeblack plant,large,none,103.98,2
rose,small,mild,66.51,1
hibiscus,large,none,105.3,3
rose,medium,strong,30.22,2
rose,medium,mild,80.6,2
rose,medium,mild,90.38,3
hibiscus,large,none,190.89,3
rose,small,strong,53,2
shoeblack plant,medium,none,80.5,3
hibiscus,large,none,140.29,2
hibiscus,large,none,166.13,1
rose,small,mild,63.77,1
hibiscus,large,none,173.14,1
rose,small,mild,95.35,3
hibiscus,large,none,121.99,2
hibiscus,large,none,141.55,1
shoeblack plant,medium,mild,61.87,2
shoeblack plant,large,none,56.07,2
rose,small,mild,47.74,1
shoeblack plant,medium,mild,94.49,2
hibiscus,large,none,178.47,2
rose,medium,strong,40.77,1
shoeblack plant,medium,none,145.61,2
shoeblack plant,large,none,121.91,1
hibiscus,large,none,109.43,2
rose,small,mild,92.29,3
rose,medium,mild,55.91,1
hibiscus,large,none,168.82,1
rose,medium,mild,50.81,3
hibiscus,large,none,195.38,3
shoeblack plant,medium,none,148.04,1
rose,small,strong,42.26,1
rose,small,strong,64.47,2
hibiscus,large,none,150.44,1
hibiscus,large,none,125.77,1
hibiscus,large,none,107.52,2
hibiscus,large,none,145.45,2
shoeblack plant,large,none,105.42,2
shoeblack plant,medium,mild,58.84,2
rose,small,mild,82.09,1
rose,small,mild,94.48,2
rose,small,strong,98.03,3
rose,medium,mild,34.16,1
shoeblack plant,medium,none,87.71,1
shoeblack plant,medium,none,57.55,2
hibiscus,large,none,169.4,1
hibiscus,large,none,133.15,2
hibiscus,large,none,150.18,2
rose,small,strong,52.45,1
shoeblack plant,large,mild,129.56,3
rose,small,strong,97.67,1
hibiscus,large,none,129.46,1
shoeblack plant,medium,mild,77.21,2
hibiscus,large,none,164.36,2
shoeblack plant,medium,none,64.59,2
hibiscus,large,none,151.26,3
rose,small,mild,76.56,1
rose,medium,mild,78.85,2
shoeblack plant,large,mild,67.97,3
hibiscus,large,none,187.77,3
rose,small,strong,86.8,2
shoeblack plant,medium,mild,110.99,3
rose,medium,mild,43.17,2
